Id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,class_label
1,0.9510565162951536,0.5877852522924732,1.2246467991473532e-16,-0.587785252292473,-0.9510565162951535,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,sine
2,0.5877852522924732,1.2246467991473532e-16,-0.587785252292473,-0.9510565162951535,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,sine
3,1.2246467991473532e-16,-0.587785252292473,-0.9510565162951535,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,sine
4,-0.587785252292473,-0.9510565162951535,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,sine
5,-0.9510565162951535,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,sine
6,-0.9510565162951536,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,-0.9510565162951534,sine
7,-0.5877852522924734,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,-0.9510565162951534,-0.9510565162951538,sine
8,-2.4492935982947064e-16,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,-0.9510565162951534,-0.9510565162951538,-0.5877852522924735,sine
9,0.5877852522924729,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,-0.9510565162951534,-0.9510565162951538,-0.5877852522924735,-4.898587196589413e-16,sine
10,0.9510565162951535,0.9510565162951536,0.5877852522924734,3.6739403974420594e-16,-0.5877852522924728,-0.9510565162951534,-0.9510565162951538,-0.5877852522924735,-4.898587196589413e-16,0.5877852522924727,sine
